"Selected population characteristics, Canada, ecozones and ecoregions" 1 2 3 4
"Every 5 years"
"Table: 38-10-0047-01 (formerly CANSIM 153-0057)"
"Geography: Canada, Ecozone, Ecoregion"

"Geography4","Population characteristics","1996","2001","2006","2011","2016"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","34.4","38.2","37.0","36.4","33.3"
,"Population in rural areas as a share of total population 5","65.6","61.8","63.0","63.6","66.7"
,"","Number",,,,
,"Private occupied dwellings 6","47,299","47,797","48,461","49,736","49,382"
,"Private occupied dwellings in population centres 5 6","17,475","19,313","18,685","18,858","17,068"
,"Private occupied dwellings in rural areas 5 6","29,824","28,484","29,776","30,878","32,314"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","2.043","2.064","2.093","2.148","2.133"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.7","2.5","2.4","2.3","2.2"
,"Population per private occupied dwelling in population centres 5 6","2.6","2.4","2.3","2.2","2.2"
,"Population per private occupied dwelling in rural areas 5 6","2.8","2.6","2.5","2.4","2.3"
"New Brunswick Highlands (ecoregion)","Total population","0","0","0","287","255"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","287","255"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.000","0.059","0.053"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","113","107"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","113","107"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.023","0.022"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","2.5","2.4"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","2.5","2.4"
"Saint John River Valley (ecoregion)","Total population","52,633","51,799","49,158","50,462","47,738"
,"Population in population centres 5","18,507","18,266","16,109","16,442","10,524"
,"Population in rural areas 5","34,126","33,533","33,049","34,020","37,214"
,"","Number per square kilometre",,,,
,"Total population density","14.402","14.174","13.452","13.808","13.063"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","35.2","35.3","32.8","32.6","22.0"
,"Population in rural areas as a share of total population 5","64.8","64.7","67.2","67.4","78.0"
,"","Number",,,,
,"Private occupied dwellings 6","18,730","19,578","19,455","20,681","20,131"
,"Private occupied dwellings in population centres 5 6","6,990","7,363","6,759","7,237","4,716"
,"Private occupied dwellings in rural areas 5 6","11,740","12,215","12,696","13,444","15,415"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","5.125","5.357","5.324","5.659","5.509"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.8","2.6","2.5","2.4","2.4"
,"Population per private occupied dwelling in population centres 5 6","2.6","2.5","2.4","2.3","2.2"
,"Population per private occupied dwelling in rural areas 5 6","2.9","2.7","2.6","2.5","2.4"
"Southern New Brunswick Uplands (ecoregion)","Total population","151,868","147,553","148,845","154,836","151,525"
,"Population in population centres 5","84,584","85,556","86,913","93,090","81,645"
,"Population in rural areas 5","67,284","61,997","61,932","61,746","69,880"
,"","Number per square kilometre",,,,
,"Total population density","12.648","12.288","12.396","12.895","12.619"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","55.7","58.0","58.4","60.1","53.9"
,"Population in rural areas as a share of total population 5","44.3","42.0","41.6","39.9","46.1"
,"","Number",,,,
,"Private occupied dwellings 6","56,551","57,870","59,511","63,420","63,539"
,"Private occupied dwellings in population centres 5 6","33,259","35,103","35,847","38,939","34,909"
,"Private occupied dwellings in rural areas 5 6","23,292","22,767","23,664","24,481","28,630"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","4.710","4.819","4.956","5.282","5.292"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.7","2.5","2.5","2.4","2.4"
,"Population per private occupied dwelling in population centres 5 6","2.5","2.4","2.4","2.4","2.3"
,"Population per private occupied dwelling in rural areas 5 6","2.9","2.7","2.6","2.5","2.4"
"Maritime Lowlands (ecoregion)","Total population","455,994","456,448","463,526","478,966","484,007"
,"Population in population centres 5","236,052","239,247","247,246","263,262","256,986"
,"Population in rural areas 5","219,942","217,201","216,280","215,704","227,021"
,"","Number per square kilometre",,,,
,"Total population density","15.967","15.983","16.231","16.771","16.948"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","51.8","52.4","53.3","55.0","53.1"
,"Population in rural areas as a share of total population 5","48.2","47.6","46.7","45.0","46.9"
,"","Number",,,,
,"Private occupied dwellings 6","168,456","180,040","189,261","201,748","208,625"
,"Private occupied dwellings in population centres 5 6","91,339","98,573","103,772","113,551","112,780"
,"Private occupied dwellings in rural areas 5 6","77,117","81,467","85,489","88,197","95,845"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","5.899","6.304","6.627","7.064","7.305"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.7","2.5","2.4","2.4","2.3"
,"Population per private occupied dwelling in population centres 5 6","2.6","2.4","2.4","2.3","2.3"
,"Population per private occupied dwelling in rural areas 5 6","2.9","2.7","2.5","2.4","2.4"
"Fundy Coast (ecoregion)","Total population","85,204","87,465","85,499","85,418","82,778"
,"Population in population centres 5","41,189","42,889","42,496","43,149","39,154"
,"Population in rural areas 5","44,015","44,576","43,003","42,269","43,624"
,"","Number per square kilometre",,,,
,"Total population density","21.525","22.096","21.599","21.579","20.912"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","48.3","49.0","49.7","50.5","47.3"
,"Population in rural areas as a share of total population 5","51.7","51.0","50.3","49.5","52.7"
,"","Number",,,,
,"Private occupied dwellings 6","32,716","35,695","35,671","36,567","36,484"
,"Private occupied dwellings in population centres 5 6","16,771","18,393","18,401","19,077","17,903"
,"Private occupied dwellings in rural areas 5 6","15,945","17,302","17,270","17,490","18,581"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","8.265","9.017","9.011","9.238","9.217"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.6","2.5","2.4","2.3","2.3"
,"Population per private occupied dwelling in population centres 5 6","2.5","2.3","2.3","2.3","2.2"
,"Population per private occupied dwelling in rural areas 5 6","2.8","2.6","2.5","2.4","2.3"
"Southwest Nova Scotia Uplands (ecoregion)","Total population","99,189","98,063","101,649","106,028","108,577"
,"Population in population centres 5","33,115","30,437","31,009","35,879","36,767"
,"Population in rural areas 5","66,074","67,626","70,640","70,149","71,810"
,"","Number per square kilometre",,,,
,"Total population density","6.977","6.897","7.150","7.458","7.637"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","33.4","31.0","30.5","33.8","33.9"
,"Population in rural areas as a share of total population 5","66.6","69.0","69.5","66.2","66.1"
,"","Number",,,,
,"Private occupied dwellings 6","37,699","38,947","41,612","44,404","46,648"
,"Private occupied dwellings in population centres 5 6","13,061","12,506","13,188","15,366","15,952"
,"Private occupied dwellings in rural areas 5 6","24,638","26,441","28,424","29,038","30,696"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","2.652","2.739","2.927","3.123","3.281"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.6","2.5","2.4","2.4","2.3"
,"Population per private occupied dwelling in population centres 5 6","2.5","2.4","2.4","2.3","2.3"
,"Population per private occupied dwelling in rural areas 5 6","2.7","2.6","2.5","2.4","2.3"
"Atlantic Coast (ecoregion)","Total population","254,566","253,337","253,055","252,149","251,432"
,"Population in population centres 5","167,640","169,696","169,703","170,616","172,377"
,"Population in rural areas 5","86,926","83,641","83,352","81,533","79,055"
,"","Number per square kilometre",,,,
,"Total population density","41.528","41.328","41.282","41.134","41.017"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","65.9","67.0","67.1","67.7","68.6"
,"Population in rural areas as a share of total population 5","34.1","33.0","32.9","32.3","31.4"
,"","Number",,,,
,"Private occupied dwellings 6","100,443","107,250","108,734","111,032","113,199"
,"Private occupied dwellings in population centres 5 6","68,432","74,209","74,866","76,745","78,592"
,"Private occupied dwellings in rural areas 5 6","32,011","33,041","33,868","34,287","34,607"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","16.386","17.496","17.738","18.113","18.467"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.5","2.4","2.3","2.3","2.2"
,"Population per private occupied dwelling in population centres 5 6","2.4","2.3","2.3","2.2","2.2"
,"Population per private occupied dwelling in rural areas 5 6","2.7","2.5","2.5","2.4","2.3"
"Annapolis-Minas Lowlands (ecoregion)","Total population","115,695","118,614","120,123","123,318","122,152"
,"Population in population centres 5","41,751","45,676","46,547","48,732","49,114"
,"Population in rural areas 5","73,944","72,938","73,576","74,586","73,038"
,"","Number per square kilometre",,,,
,"Total population density","25.945","26.600","26.938","27.655","27.393"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","36.1","38.5","38.7","39.5","40.2"
,"Population in rural areas as a share of total population 5","63.9","61.5","61.3","60.5","59.8"
,"","Number",,,,
,"Private occupied dwellings 6","42,884","46,140","48,075","50,888","51,852"
,"Private occupied dwellings in population centres 5 6","16,311","18,622","19,302","20,742","21,200"
,"Private occupied dwellings in rural areas 5 6","26,573","27,518","28,773","30,146","30,652"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","9.617","10.347","10.781","11.412","11.628"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.7","2.6","2.5","2.4","2.4"
,"Population per private occupied dwelling in population centres 5 6","2.6","2.5","2.4","2.3","2.3"
,"Population per private occupied dwelling in rural areas 5 6","2.8","2.7","2.6","2.5","2.4"
"South-central Nova Scotia Uplands (ecoregion)","Total population","141,676","153,505","160,715","169,886","177,887"
,"Population in population centres 5","98,873","109,692","112,440","123,310","137,421"
,"Population in rural areas 5","42,803","43,813","48,275","46,576","40,466"
,"","Number per square kilometre",,,,
,"Total population density","26.067","28.243","29.570","31.257","32.729"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","69.8","71.5","70.0","72.6","77.3"
,"Population in rural areas as a share of total population 5","30.2","28.5","30.0","27.4","22.7"
,"","Number",,,,
,"Private occupied dwellings 6","51,579","59,178","64,396","69,705","74,415"
,"Private occupied dwellings in population centres 5 6","37,296","43,704","46,839","52,604","58,808"
,"Private occupied dwellings in rural areas 5 6","14,283","15,474","17,557","17,101","15,607"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","9.490","10.888","11.848","12.825","13.691"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.7","2.6","2.5","2.4","2.4"
,"Population per private occupied dwelling in population centres 5 6","2.7","2.5","2.4","2.3","2.3"
,"Population per private occupied dwelling in rural areas 5 6","3.0","2.8","2.7","2.7","2.6"
"Nova Scotia Highlands (ecoregion)","Total population","195,423","179,319","173,877","166,860","162,566"
,"Population in population centres 5","101,005","96,071","92,000","87,719","83,477"
,"Population in rural areas 5","94,418","83,248","81,877","79,141","79,089"
,"","Number per square kilometre",,,,
,"Total population density","13.044","11.969","11.606","11.137","10.851"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","51.7","53.6","52.9","52.6","51.3"
,"Population in rural areas as a share of total population 5","48.3","46.4","47.1","47.4","48.7"
,"","Number",,,,
,"Private occupied dwellings 6","69,960","68,578","69,946","69,148","70,421"
,"Private occupied dwellings in population centres 5 6","37,686","38,083","38,152","37,307","36,792"
,"Private occupied dwellings in rural areas 5 6","32,274","30,495","31,794","31,841","33,629"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","4.670","4.577","4.669","4.615","4.700"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.8","2.6","2.5","2.4","2.3"
,"Population per private occupied dwelling in population centres 5 6","2.7","2.5","2.4","2.4","2.3"
,"Population per private occupied dwelling in rural areas 5 6","2.9","2.7","2.6","2.5","2.4"
"Cape Breton Highlands (ecoregion)","Total population","923","1,521","1,313","1,533","1,256"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","923","1,521","1,313","1,533","1,256"
,"","Number per square kilometre",,,,
,"Total population density","0.413","0.681","0.588","0.686","0.562"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","286","568","529","659","568"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","286","568","529","659","568"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.128","0.254","0.237","0.295","0.254"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.2","2.7","2.5","2.3","2.2"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","3.2","2.7","2.5","2.3","2.2"
"Prince Edward Island (ecoregion)","Total population","134,557","135,294","135,851","140,204","142,907"
,"Population in population centres 5","59,460","60,675","61,173","65,543","64,409"
,"Population in rural areas 5","75,097","74,619","74,678","74,661","78,498"
,"","Number per square kilometre",,,,
,"Total population density","23.860","23.990","24.089","24.861","25.340"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","44.2","44.8","45.0","46.7","45.1"
,"Population in rural areas as a share of total population 5","55.8","55.2","55.0","53.3","54.9"
,"","Number",,,,
,"Private occupied dwellings 6","47,958","51,135","53,084","56,462","59,472"
,"Private occupied dwellings in population centres 5 6","22,926","24,592","25,332","27,735","28,078"
,"Private occupied dwellings in rural areas 5 6","25,032","26,543","27,752","28,727","31,394"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","8.504","9.067","9.413","10.012","10.546"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.8","2.6","2.6","2.5","2.4"
,"Population per private occupied dwelling in population centres 5 6","2.6","2.5","2.4","2.4","2.3"
,"Population per private occupied dwelling in rural areas 5 6","3.0","2.8","2.7","2.6","2.5"
"Îles-de-la-Madeleine (ecoregion)","Total population","13,802","12,824","13,091","12,781","12,475"
,"Population in population centres 5","1,661","1,659","1,685","1,635","2,028"
,"Population in rural areas 5","12,141","11,165","11,406","11,146","10,447"
,"","Number per square kilometre",,,,
,"Total population density","71.391","66.332","67.714","66.110","64.527"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","12.0","12.9","12.9","12.8","16.3"
,"Population in rural areas as a share of total population 5","88.0","87.1","87.1","87.2","83.7"
,"","Number",,,,
,"Private occupied dwellings 6","4,887","4,932","5,183","5,382","5,534"
,"Private occupied dwellings in population centres 5 6","593","625","647","677","865"
,"Private occupied dwellings in rural areas 5 6","4,294","4,307","4,536","4,705","4,669"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","25.278","25.511","26.809","27.839","28.625"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.8","2.6","2.5","2.4","2.3"
,"Population per private occupied dwelling in population centres 5 6","2.8","2.7","2.6","2.4","2.3"
,"Population per private occupied dwelling in rural areas 5 6","2.8","2.6","2.5","2.4","2.2"
"Mixedwood Plains (ecozone)","Total population","14,844,347","15,638,604","16,615,179","17,590,387","18,383,953"
,"Population in population centres 5","12,789,300","13,705,844","14,625,993","15,572,858","16,326,861"
,"Population in rural areas 5","2,055,047","1,932,760","1,989,186","2,017,529","2,057,092"
,"","Number per square kilometre",,,,
,"Total population density","136.894","144.219","153.225","162.218","169.537"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","86.2","87.6","88.0","88.5","88.8"
,"Population in rural areas as a share of total population 5","13.8","12.4","12.0","11.5","11.2"
,"","Number",,,,
,"Private occupied dwellings 6","5,588,876","6,042,685","6,457,560","6,929,568","7,296,857"
,"Private occupied dwellings in population centres 5 6","4,882,179","5,343,781","5,728,828","6,172,090","6,504,298"
,"Private occupied dwellings in rural areas 5 6","706,697","698,904","728,732","757,478","792,559"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","51.541","55.726","59.552","63.904","67.292"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.7","2.6","2.6","2.5","2.5"
,"Population per private occupied dwelling in population centres 5 6","2.6","2.6","2.6","2.5","2.5"
,"Population per private occupied dwelling in rural areas 5 6","2.9","2.8","2.7","2.7","2.6"
"St. Lawrence Lowlands (ecoregion)","Total population","6,147,668","6,305,093","6,587,714","6,942,964","7,210,863"
,"Population in population centres 5","5,293,943","5,521,503","5,783,638","6,107,917","6,340,520"
,"Population in rural areas 5","853,725","783,590","804,076","835,047","870,343"
,"","Number per square kilometre",,,,
,"Total population density","152.191","156.088","163.085","171.880","178.512"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","86.1","87.6","87.8","88.0","87.9"
,"Population in rural areas as a share of total population 5","13.9","12.4","12.2","12.0","12.1"
,"","Number",,,,
,"Private occupied dwellings 6","2,447,762","2,614,590","2,759,669","2,946,574","3,070,341"
,"Private occupied dwellings in population centres 5 6","2,146,649","2,320,184","2,452,757","2,618,668","2,719,926"
,"Private occupied dwellings in rural areas 5 6","301,113","294,406","306,912","327,906","350,415"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","60.597","64.727","68.318","72.945","76.009"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.5","2.4","2.4","2.4","2.3"
,"Population per private occupied dwelling in population centres 5 6","2.5","2.4","2.4","2.3","2.3"
,"Population per private occupied dwelling in rural areas 5 6","2.8","2.7","2.6","2.5","2.5"
"Frontenac Axis (ecoregion)","Total population","19,190","19,777","20,762","19,959","20,585"
,"Population in population centres 5","5,217","5,167","5,285","5,194","5,159"
,"Population in rural areas 5","13,973","14,610","15,477","14,765","15,426"
,"","Number per square kilometre",,,,
,"Total population density","22.895","23.596","24.771","23.813","24.560"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","27.2","26.1","25.5","26.0","25.1"
,"Population in rural areas as a share of total population 5","72.8","73.9","74.5","74.0","74.9"
,"","Number",,,,
,"Private occupied dwellings 6","7,295","7,876","8,312","8,243","8,728"
,"Private occupied dwellings in population centres 5 6","2,239","2,265","2,314","2,346","2,404"
,"Private occupied dwellings in rural areas 5 6","5,056","5,611","5,998","5,897","6,324"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","8.704","9.397","9.917","9.835","10.413"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.6","2.5","2.5","2.4","2.4"
,"Population per private occupied dwelling in population centres 5 6","2.3","2.3","2.3","2.2","2.1"
,"Population per private occupied dwelling in rural areas 5 6","2.8","2.6","2.6","2.5","2.4"
"Manitoulin-Lake Simcoe (ecoregion)","Total population","2,239,786","2,395,668","2,576,784","2,690,449","2,828,114"
,"Population in population centres 5","1,557,340","1,719,437","1,868,140","1,987,006","2,107,598"
,"Population in rural areas 5","682,446","676,231","708,644","703,443","720,516"
,"","Number per square kilometre",,,,
,"Total population density","52.086","55.711","59.922","62.566","65.767"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","69.5","71.8","72.5","73.9","74.5"
,"Population in rural areas as a share of total population 5","30.5","28.2","27.5","26.1","25.5"
,"","Number",,,,
,"Private occupied dwellings 6","812,910","893,233","969,513","1,031,359","1,095,036"
,"Private occupied dwellings in population centres 5 6","579,525","652,599","714,806","773,153","823,877"
,"Private occupied dwellings in rural areas 5 6","233,385","240,634","254,707","258,206","271,159"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","18.904","20.772","22.546","23.984","25.465"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.8","2.7","2.7","2.6","2.6"
,"Population per private occupied dwelling in population centres 5 6","2.7","2.6","2.6","2.6","2.6"
,"Population per private occupied dwelling in rural areas 5 6","2.9","2.8","2.8","2.7","2.7"
"Lake Erie Lowland (ecoregion)","Total population","6,437,703","6,918,066","7,429,919","7,937,015","8,324,391"
,"Population in population centres 5","5,932,800","6,459,737","6,968,930","7,472,741","7,873,584"
,"Population in rural areas 5","504,903","458,329","460,989","464,274","450,807"
,"","Number per square kilometre",,,,
,"Total population density","265.999","285.847","306.996","327.949","343.955"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","92.2","93.4","93.8","94.2","94.6"
,"Population in rural areas as a share of total population 5","7.8","6.6","6.2","5.8","5.4"
,"","Number",,,,
,"Private occupied dwellings 6","2,320,909","2,526,986","2,720,066","2,943,392","3,122,752"
,"Private occupied dwellings in population centres 5 6","2,153,766","2,368,733","2,558,951","2,777,923","2,958,091"
,"Private occupied dwellings in rural areas 5 6","167,143","158,253","161,115","165,469","164,661"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","95.897","104.412","112.390","121.618","129.029"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.8","2.7","2.7","2.7","2.7"
,"Population per private occupied dwelling in population centres 5 6","2.8","2.7","2.7","2.7","2.7"
,"Population per private occupied dwelling in rural areas 5 6","3.0","2.9","2.9","2.8","2.7"
"Boreal Plains (ecozone)","Total population","758,734","787,568","828,573","881,288","923,271"
,"Population in population centres 5","319,262","337,707","365,386","405,147","413,960"
,"Population in rural areas 5","439,472","449,861","463,187","476,141","509,311"
,"","Number per square kilometre",,,,
,"Total population density","1.141","1.184","1.246","1.325","1.388"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","42.1","42.9","44.1","46.0","44.8"
,"Population in rural areas as a share of total population 5","57.9","57.1","55.9","54.0","55.2"
,"","Number",,,,
,"Private occupied dwellings 6","262,191","284,338","303,619","325,926","342,231"
,"Private occupied dwellings in population centres 5 6","116,293","128,332","139,488","156,119","158,929"
,"Private occupied dwellings in rural areas 5 6","145,898","156,006","164,131","169,807","183,302"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.394","0.427","0.456","0.490","0.514"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.9","2.8","2.7","2.7","2.7"
,"Population per private occupied dwelling in population centres 5 6","2.7","2.6","2.6","2.6","2.6"
,"Population per private occupied dwelling in rural areas 5 6","3.0","2.9","2.8","2.8","2.8"
"Slave River Lowland (ecoregion)","Total population","4,671","4,394","3,402","4,808","5,308"
,"Population in population centres 5","0","0","0","0","2,031"
,"Population in rural areas 5","4,671","4,394","3,402","4,808","3,277"
,"","Number per square kilometre",,,,
,"Total population density","0.106","0.100","0.077","0.109","0.120"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","38.3"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","61.7"
,"","Number",,,,
,"Private occupied dwellings 6","1,266","1,362","1,155","1,339","1,508"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","766"
,"Private occupied dwellings in rural areas 5 6","1,266","1,362","1,155","1,339","742"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.029","0.031","0.026","0.030","0.034"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.7","3.2","2.9","3.6","3.5"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","2.7"
,"Population per private occupied dwelling in rural areas 5 6","3.7","3.2","2.9","3.6","4.4"
"Clear Hills Upland (ecoregion)","Total population","6,368","5,894","6,546","6,759","7,479"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","6,368","5,894","6,546","6,759","7,479"
,"","Number per square kilometre",,,,
,"Total population density","0.143","0.132","0.147","0.152","0.168"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","1,902","1,890","2,081","2,139","2,325"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","1,902","1,890","2,081","2,139","2,325"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.043","0.042","0.047","0.048","0.052"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.3","3.1","3.1","3.2","3.2"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","3.3","3.1","3.1","3.2","3.2"
"Peace Lowland (ecoregion)","Total population","157,869","163,949","180,847","193,449","209,765"
,"Population in population centres 5","87,231","96,387","108,283","117,314","122,891"
,"Population in rural areas 5","70,638","67,562","72,564","76,135","86,874"
,"","Number per square kilometre",,,,
,"Total population density","2.547","2.646","2.918","3.122","3.385"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","55.3","58.8","59.9","60.6","58.6"
,"Population in rural areas as a share of total population 5","44.7","41.2","40.1","39.4","41.4"
,"","Number",,,,
,"Private occupied dwellings 6","53,858","59,316","66,019","72,427","77,359"
,"Private occupied dwellings in population centres 5 6","31,278","36,409","41,203","45,746","47,166"
,"Private occupied dwellings in rural areas 5 6","22,580","22,907","24,816","26,681","30,193"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.869","0.957","1.065","1.169","1.248"
,"","Number",,,,
,"Population per private occupied dwelling 6","2.9","2.8","2.7","2.7","2.7"
,"Population per private occupied dwelling in population centres 5 6","2.8","2.6","2.6","2.6","2.6"
,"Population per private occupied dwelling in rural areas 5 6","3.1","2.9","2.9","2.9","2.9"
"Mid-Boreal Uplands (ecoregion)","Total population","65,972","70,580","74,254","80,457","81,046"
,"Population in population centres 5","24,007","26,627","29,312","35,623","35,562"
,"Population in rural areas 5","41,965","43,953","44,942","44,834","45,484"
,"","Number per square kilometre",,,,
,"Total population density","0.344","0.369","0.388","0.420","0.423"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","36.4","37.7","39.5","44.3","43.9"
,"Population in rural areas as a share of total population 5","63.6","62.3","60.5","55.7","56.1"
,"","Number",,,,
,"Private occupied dwellings 6","21,305","24,436","25,521","27,744","28,439"
,"Private occupied dwellings in population centres 5 6","8,384","9,746","10,366","12,625","12,635"
,"Private occupied dwellings in rural areas 5 6","12,921","14,690","15,155","15,119","15,804"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.111","0.128","0.133","0.145","0.148"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.1","2.9","2.9","2.9","2.8"
,"Population per private occupied dwelling in population centres 5 6","2.9","2.7","2.8","2.8","2.8"
,"Population per private occupied dwelling in rural areas 5 6","3.2","3.0","3.0","3.0","2.9"
"Wabasca Lowland (ecoregion)","Total population","20,774","28,007","37,044","47,261","51,566"
,"Population in population centres 5","15,853","20,408","28,785","37,575","41,199"
,"Population in rural areas 5","4,921","7,599","8,259","9,686","10,367"
,"","Number per square kilometre",,,,
,"Total population density","0.416","0.561","0.742","0.947","1.033"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","76.3","72.9","77.7","79.5","79.9"
,"Population in rural areas as a share of total population 5","23.7","27.1","22.3","20.5","20.1"
,"","Number",,,,
,"Private occupied dwellings 6","6,268","8,743","11,935","15,549","17,713"
,"Private occupied dwellings in population centres 5 6","4,937","6,546","9,613","12,819","14,573"
,"Private occupied dwellings in rural areas 5 6","1,331","2,197","2,322","2,730","3,140"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.126","0.175","0.239","0.312","0.355"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.3","3.2","3.1","3.0","2.9"
,"Population per private occupied dwelling in population centres 5 6","3.2","3.1","3.0","2.9","2.8"
,"Population per private occupied dwelling in rural areas 5 6","3.7","3.5","3.6","3.5","3.3"
"Western Boreal (ecoregion)","Total population","1,913","3,412","3,882","3,965","3,595"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","1,913","3,412","3,882","3,965","3,595"
,"","Number per square kilometre",,,,
,"Total population density","0.166","0.297","0.338","0.345","0.313"
